P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Supply_voltage;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
1;579;;1,00;U4;SOT23-5;AO;LMC7101-BIM5;2.7/15V;;;;;;Operational Amplifier, single, 2.7/15V supply voltage, rail to rail output swing, SMD, SOT23-5;National Semiconductor;LMC7101-BIM5;FARNELL ITALIA S.R.L.;1212200;National Semiconductor;LMC7101-BIM5;DIGI-KEY CORPORATION;LMC7101BIM5NSTR-ND;National Semiconductor;LMC7101-BIM5;FARNELL ITALIA S.R.L.;3117162;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Ranges;Tolerance;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
2;14700;;1,00;U3;4132;AP;4132;;;;;;;GPIO Expander module, 16 Additional I/O over I2C, for Raspberry PI;Adafruit;4132;MOUSER ELECTRONICS;485-4132;
3;14701;;2,00;U1 U5;3190;AP;3190;;;;;;;Brushed DC Motor Driver Breakout, Adafruit;Adafruit;3190;MOUSER ELECTRONICS;485-3190;
4;14703;;1,00;M7;-;AP;STM32F746G-DISCO;;;;;;;ARM 32F746G, Discovery Kit ARM® Cortex®-M7 Embedded Evaluation Board;St microelectronics;STM32F746G-DISCO;MOUSER ELECTRONICS;511-STM32F746G-DISCO;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Capacitance;Voltage;Tolerance;Dielectric;ESR;Rated RMS current;Temp;Description;Manuf;Manuf Code;Supplier;Supplier Code
5;3;;3,00;C16 C15 C13;0603;C;100nF;50V;10%;X7R;;;;Multilayer Ceramic Capacitor, 100nF, 50V, 10%, X7R, SMD, 0603;Kemet;C0603C104K5RAC7867;SILVERSTAR S.R.L.;KETC0603C104K5RAC7867;Kemet;C0603C104K5RACTU;DIGI-KEY CORPORATION;399-5089-2-ND;Kemet;C0603C104K5RACTU;FARNELL ITALIA S.R.L.;1288255;Murata;GRM188R71H104KA93D;RS COMPONENTS S.P.A.;624-2480;
6;652;;1,00;C14;0603;C;33nF;50V;5%;X7R;;;;Multilayer Ceramic Capacitor, 33nF, 50V, 5%, X7R, SMD, 0603;Avx;06035C333JAT2A;DIGI-KEY CORPORATION;478-3723-2-N;Avx;06035C333JAT2A;FARNELL ITALIA S.R.L.;1740618;Avx;06035C333JAT2A;MOUSER ELECTRONICS;581-06035C333J;
7;7120;;12,00;C12 C11 C10 C9 C8 C7 C6 C5 C4 C3 C2 C1;0603;C;10nF;25V;5%;C0G;;;;Multilayer Ceramic Capacitor, 10nF, 25V, 5%, C0G, SMD, 0603;Kemet;C0603C103J3GACTU;FARNELL ITALIA S.R.L.;1457729RL;Kemet;C0603C103J3GACTU;RS COMPONENTS S.P.A.;801-5230;
P;IITCODE;N.M;QTY;REFDES;PACKAGE;CATEGORY;Value;Current;Impedence;Pieces_quoted;Prepared;;;Description;Manuf;Manuf Code;Supplier;Supplier Code
8;274;;5,00;J24 J23 J22 J21 J20;MKDS12-381;CO;MKDS 1/2-3.81;12A;;;;;;Terminal block, MKDS, 2 contacts, 1 row, female, p.3.81mm, Straight, w to b, 12A, screw terminal, THD;Phoenix;1727010;RS COMPONENTS S.P.A.;101-5384;Phoenix;1727010;FARNELL ITALIA S.R.L.;3704579;
9;275;;2,00;J28 J14;MKDS13-381;CO;MKDS 1/3-3.81;12A;;;;;;Terminal block, MKDS, 3 contacts, 1 row, female, p.3.81mm, Straight, w to b, 12A, screw terminal, THD;Phoenix;1727023;RS COMPONENTS S.P.A.;101-5390;Phoenix;1727023;FARNELL ITALIA S.R.L.;3704580;
